city,population,sq_mi,density_sq_mi
Adelanto,38046,52.87,719.6
Agoura Hills,20299,7.8,2602.4
Alameda,78280,10.45,7490.9
Alamo,20346,7.51,2709.2
Albany,20271,1.79,11324.6
Alhambra,82868,7.63,10860.8
Aliso Viejo,52176,6.93,7529
Alturas,2715,2.84,956
Amador City,200,0.31,645.2
American Canyon,21837,6.09,3585.7
Anaheim,346824,50.27,6899.2
Anderson,11323,7.03,1610.7
Angels Camp,3667,3.63,1010.2
Antioch,115291,29.17,3952.4
Apple Valley,75791,77.01,984.2
Arcadia,56681,10.93,5185.8
Arcata,18857,9.42,2001.8
Arroyo Grande,18441,5.94,3104.5
Artesia,16395,1.62,10120.4
Arvin,19495,4.82,4044.6
Atascadero,29773,26.07,1142
Atherton,7188,5.02,1431.9
Atwater,31970,6.57,4866.1
Auburn,13776,7.18,1918.7
Avalon,3460,2.89,1197.2
Avenal,13696,19.48,703.1
Azusa,50000,9.66,5176
Bakersfield,403455,149.78,2693.7
Baldwin Park,72176,6.63,10886.3
Banning,29505,23.24,1269.6
Barstow,25415,41.3,615.4
Beaumont,53036,30.32,1749.2
Bell,33559,2.51,13370.1
Bell Gardens,39501,2.46,16057.3
Bellflower,79190,6.12,12939.5
Belmont,28335,4.63,6119.9
Belvedere Tiburon,11272,5,2254.4
Benicia,27131,12.81,2118
Berkeley,124321,10.43,11919.6
Beverly Hills,32701,5.71,5727
Big Bear Lake,5046,6.24,808.7
Biggs,1964,0.9,2182.2
Bishop,3819,1.86,2053.2
Blue Lake,1208,0.59,2047.5
Blythe,18317,26.58,689.1
Bolinas,1074,3892.2,184.3
Bradbury,921,1.96,469.9
Brawley,26416,8.12,3253.2
Brea,47325,12.17,3888.7
Brentwood,64292,14.87,4323.6
Brisbane,4851,2.99,1622.4
Buellton,5161,1.58,3266.5
Buena Park,84034,10.53,7980.4
Burbank,107337,17.32,6197.3
Burlingame,31386,4.39,7149.4
Calabasas,23241,13.71,1695.2
Calexico,38633,8.62,4481.8
California City,14973,203.61,73.5
Calimesa,10026,14.86,674.7
Calipatria,6515,3.7,1760.8
Calistoga,5228,2.58,2026.4
Camarillo,70741,19.69,3592.7
Campbell,43959,6.08,7230.1
Canyon Lake,11082,3.92,2827
Capitola,9938,1.59,6250.3
Carlsbad,114746,37.77,3038
Carmel-by-the-Sea,3220,1.06,3037.7
Carpinteria,13264,2.59,5121.2
Carson,95558,18.73,5101.9
Castro Valley,66441,17.07,3892.3
Cathedral City,51493,22.49,2289.6
Ceres,49302,9.5,5189.7
Cerritos,49578,8.73,5679
Chico,101475,34.14,2972.3
Chino,91403,29.61,3086.9
Chino Hills,78411,44.65,1756.1
Chowchilla,19039,11.09,1716.8
Chula Vista,275487,49.64,5549.7
Citrus Heights,87583,14.22,6159.1
Claremont,37266,13.34,2793.6
Clayton,11070,3.84,2882.8
Clearlake,16685,10.13,1647.1
Cloverdale,8996,3.14,2865
Clovis,120124,25.42,4725.6
Coachella,41941,30.08,1394.3
Coalinga,17590,6.85,2567.9
Colfax,1995,1.41,1414.9
Colma,1507,1.89,797.4
Colton,53909,15.55,3466.8
Colusa,6411,3.42,1874.6
Commerce,12378,6.53,1895.6
Compton,95740,10.03,9545.4
Concord,125410,30.55,4105.1
Corcoran,22339,7.46,2994.5
Corning,8244,3.55,2322.3
Corona,157136,39.94,3934.3
Coronado,20192,7.81,2585.4
Corte Madera,10222,3.16,3234.8
Costa Mesa,111918,15.81,7078.9
Cotati,7584,1.87,4055.6
Covina,51268,7.04,7282.4
