,Latitude,Longitude,altitude
0,37.5409048,-122.5164805,29.5
1,37.5416534,-122.5162686,30.32
2,37.5418829,-122.5162004,30.85
3,37.5418849,-122.3666004,182.58
4,37.541983,-122.5161706,31.08
5,37.5423573,-122.516054,31.65
6,37.543023,-122.5157375,31.87
7,37.5443152,-122.3641987,196.09
8,37.5445469,-122.370154,185.5
9,37.5451446,-122.3697032,188.51
10,37.5452328,-122.3202975,24.39
11,37.5453568,-122.3657175,197.4
12,37.5453936,-122.326002,37.48
13,37.5454098,-122.5141251,20.14
14,37.5454962,-122.3208043,23.37
15,37.5455686,-122.5140155,19.05
16,37.5456194,-122.32079,23.05
17,37.5456823,-122.5139377,18.64
18,37.5458924,-122.321372,22.74
19,37.545952,-122.3255099,190.85
20,37.54618,-122.513601,16.22
21,37.5462123,-122.32181,23.49
22,37.5463072,-122.3217424,23.26
23,37.5464919,-122.322001,24.24
24,37.5465031,-122.3222338,25.01
25,37.5465442,-122.3220904,24.52
26,37.5465839,-122.3223465,24.79
27,37.5466753,-122.3222767,24.14
28,37.5466895,-122.3733943,193.07
29,37.5467243,-122.3233656,23.4
30,37.5467676,-122.3734561,192.83
31,37.5467691,-122.3726256,190.85
32,37.5468623,-122.322704,23.44
33,37.5468901,-122.322575,23.59
34,37.5469196,-122.3227791,23.36
35,37.54695,-122.3731394,191.73
36,37.5469525,-122.322649,23.33
37,37.5470598,-122.37293,191.02
38,37.5471219,-122.3214962,21.02
39,37.5471338,-122.3725629,192.21
40,37.5471375,-122.3713459,189.73
41,37.5471883,-122.3236119,25.57
42,37.5472784,-122.3231915,24.74
43,37.547311,-122.3230622,24.47
44,37.5473431,-122.323266,24.77
45,37.5473634,-122.3732364,191.21
46,37.5473716,-122.3727844,197.48
47,37.5473835,-122.32314,24.27
48,37.5474404,-122.3716041,189.41
49,37.5474502,-122.3720856,194.17
50,37.5476122,-122.3216605,19.94
51,37.5476642,-122.3210966,16.53
52,37.5476901,-122.3723334,198.32
53,37.5477003,-122.322148,21.98
54,37.547756,-122.3719243,189.76
55,37.5478683,-122.3224779,22.65
56,37.5478819,-122.3717255,189.58
57,37.5480325,-122.3721969,190.51
58,37.5481949,-122.324038,28.79
59,37.548238,-122.3242595,29.57
60,37.548248,-122.3711874,189.25
61,37.5483061,-122.3241565,29.35
62,37.5483661,-122.3741106,199.15
63,37.5484467,-122.3708953,189.18
64,37.5485487,-122.3244415,30.71
65,37.5485545,-122.3707373,189.29
66,37.5487593,-122.3247962,32.09
67,37.5487848,-122.3246782,31.87
68,37.5488161,-122.3711893,190.19
69,37.5489253,-122.3249805,32.43
70,37.5491471,-122.3699939,189.3
71,37.5491623,-122.3699319,189.3
72,37.5491673,-122.3701226,189.03
73,37.5491949,-122.3698808,189.23
74,37.549242,-122.3239748,29.59
75,37.5493597,-122.3701456,188.92
76,37.5493856,-122.3699063,188.75
77,37.5493949,-122.3255041,29.5
78,37.5494697,-122.3253925,28.56
79,37.5499121,-122.325959,24.7
80,37.5500158,-122.3692991,183.26
81,37.5501162,-122.326165,23.19
82,37.550391,-122.3264614,21.97
83,37.5505857,-122.3266714,20.53
84,37.5510739,-122.3762321,212.76
85,37.5511223,-122.3273347,20.26
86,37.5515096,-122.3281245,21.91
87,37.551668,-122.3677186,158.92
88,37.5518155,-122.3615305,97.32
89,37.5518629,-122.3291025,27.13
90,37.5518761,-122.329136,27.13
91,37.5518824,-122.5121407,21.74
92,37.5519441,-122.3766278,213.5
93,37.5522016,-122.3299475,35.03
94,37.5523373,-122.3668012,146.74
95,37.5523897,-122.3302536,37.84
96,37.5524585,-122.3303655,38.65
97,37.5525291,-122.3631756,113.11
98,37.5527455,-122.3656789,135.76
99,37.5527647,-122.3308122,41.81
100,37.5528166,-122.3309445,43.07
101,37.5529977,-122.3314066,46.81
102,37.5531267,-122.3318921,51.57
103,37.5532983,-122.3325378,56.18
104,37.5534574,-122.3336546,58.06
105,37.5535171,-122.3344033,53.27
106,37.5535474,-122.3596145,115.19
107,37.5536421,-122.3347472,50.86
108,37.5536881,-122.3499699,107.03
109,37.5538478,-122.3350286,47.91
110,37.5543763,-122.3247994,12.47
111,37.5544085,-122.3353398,42.84
112,37.5544514,-122.3353763,42.49
113,37.554673,-122.3589873,110.49
114,37.5549488,-122.3357999,41.34
115,37.5549889,-122.3785911,204.7
116,37.5549998,-122.3507187,97.85
117,37.5550159,-122.3587674,110.86
118,37.5552046,-122.3360178,40.76
119,37.5552717,-122.3360891,40.46
120,37.5555469,-122.3363645,39.4
121,37.5555578,-122.3776675,197.92
122,37.5558618,-122.3769822,192.29
123,37.5559309,-122.3229748,9.36
124,37.5560609,-122.3507999,86.19
125,37.5563162,-122.3505922,85.07
126,37.5564671,-122.3505639,84.68
127,37.5572852,-122.3344374,30.53
128,37.5573585,-122.3801581,206.41
129,37.5574924,-122.3578281,102.05
130,37.5577038,-122.3200383,9.68
131,37.5578923,-122.3337695,27.15
132,37.5580781,-122.3577533,100.5
133,37.5581918,-122.3207656,10.63
134,37.5581969,-122.3205984,10.45
135,37.5583007,-122.3207141,10.54
136,37.5584241,-122.3210282,10.87
137,37.5585153,-122.3330842,23.65
138,37.5588103,-122.3214646,11.14
139,37.5588221,-122.3213008,11.11
140,37.5588562,-122.3492934,63.41
141,37.5588793,-122.3213641,11.11
142,37.5590842,-122.3732245,152.82
143,37.5590862,-122.3324512,19.6
144,37.5591299,-122.3218308,11.26
145,37.5592101,-122.3217127,11.27
146,37.5593312,-122.3215344,10.72
147,37.559355,-122.3214995,10.55
148,37.5593822,-122.3221107,11.67
149,37.5594617,-122.3221945,11.71
150,37.5594726,-122.3213263,10.46
151,37.5594798,-122.350479,68.14
152,37.5594902,-122.332022,18.25
153,37.5594971,-122.3212902,10.7
154,37.5595993,-122.3211397,10.17
155,37.5596583,-122.3274713,12.53
156,37.5597001,-122.3492239,60.05
157,37.5597642,-122.3317036,17.57
158,37.5601026,-122.3823623,190.84
159,37.5602681,-122.3201564,9.01
160,37.5602715,-122.3484205,53.08
161,37.5603536,-122.3289886,11.55
162,37.5606218,-122.3307315,15.1
163,37.560633,-122.3828785,187.26
164,37.560728,-122.3711401,138.53
165,37.5607445,-122.3235799,13.57
166,37.5608135,-122.3234802,13.56
167,37.560964,-122.3238312,13.36
168,37.5609847,-122.3282677,12.45
169,37.5610717,-122.3518189,48.61
170,37.5610978,-122.3465185,36.47
171,37.5611363,-122.3466994,37.5
172,37.561287,-122.3239743,13.24
173,37.5613174,-122.3475596,44.29
174,37.5614751,-122.3241731,13.17
175,37.5615611,-122.327984,12.25
176,37.561568,-122.3298191,12.03
177,37.5616008,-122.32454,12.8
178,37.5616804,-122.3700027,140.37
179,37.5616993,-122.3244102,12.74
180,37.5617299,-122.3297337,9.44
181,37.5618556,-122.3276836,12.11
182,37.5618576,-122.3248186,12.81
183,37.5620635,-122.3273534,12.21
184,37.5620668,-122.3248204,13
185,37.5621965,-122.3271651,12.39
186,37.56222,-122.3252117,13.01
187,37.5623126,-122.3444958,25.28
188,37.5623159,-122.3250984,13.25
189,37.5624967,-122.3248355,12.83
190,37.562498,-122.3267384,12.88
191,37.5625251,-122.3267,13
192,37.5625269,-122.3689861,129.24
193,37.56254,-122.3255616,13.4
194,37.5625875,-122.3439759,23.29
195,37.5626416,-122.3265351,13.24
196,37.5626592,-122.3254745,13.59
197,37.5626613,-122.3256942,13.48
198,37.5627416,-122.3850614,188.53
199,37.5627627,-122.3263637,13.48
200,37.5628255,-122.3540146,50.06
201,37.5628292,-122.3256606,13.66
202,37.562903,-122.3226712,11.21
203,37.5629854,-122.3260485,14.02
204,37.5630131,-122.3541457,50.01
205,37.5630696,-122.3259239,13.91
206,37.5631586,-122.3555837,53.42
207,37.5632191,-122.3257082,13.85
208,37.5632925,-122.3263848,14.26
209,37.5633309,-122.326421,14.15
210,37.563411,-122.3262946,14.33
211,37.5634916,-122.3202127,8.89
212,37.563524,-122.3233414,11.45
213,37.5636222,-122.3545997,45.34
214,37.5636321,-122.5126571,44.85
215,37.5636325,-122.3203668,8.93
216,37.5637029,-122.326705,13.39
217,37.5638122,-122.3205631,9.15
218,37.5638294,-122.3228973,11.13
219,37.5638757,-122.3281392,9.36
220,37.5639426,-122.3269631,12.05
221,37.5639652,-122.3263256,13.6
222,37.5640117,-122.5125757,44.07
223,37.5641027,-122.3224998,10.77
224,37.5641206,-122.3209002,9.52
225,37.5641906,-122.3271807,10.89
226,37.56422,-122.3223292,10.85
227,37.5642839,-122.3258647,12.73
228,37.564288,-122.3241667,11.99
229,37.5644022,-122.3256994,12.42
230,37.5644043,-122.3550465,45.46
231,37.5644498,-122.3273647,9.69
232,37.5644963,-122.3219313,10.1
233,37.5645111,-122.3226471,10.73
234,37.5646431,-122.3227922,10.75
235,37.5646469,-122.3253574,11.43
236,37.5646885,-122.3252992,11.43
237,37.5647375,-122.3252307,11.24
238,37.5647385,-122.3215755,9.78
239,37.5647688,-122.3275797,9.43
240,37.5649837,-122.3231631,10.83
241,37.5650052,-122.3277573,9.49
242,37.5650365,-122.3547441,45
243,37.5650401,-122.3277847,9.59
244,37.5650546,-122.3211153,9.06
245,37.5650769,-122.3219415,9.65
246,37.5650795,-122.3278111,9.59
247,37.5651139,-122.340715,21.16
248,37.5651463,-122.3209819,8.78
249,37.5651788,-122.3220518,9.48
250,37.5652034,-122.363409,57.11
251,37.5652171,-122.3208789,8.74
252,37.5652901,-122.3633076,55.68
253,37.5653567,-122.3206629,8.58
254,37.5654071,-122.3280914,9.61
255,37.5654094,-122.323628,10.43
256,37.5654776,-122.3630883,53.13
257,37.565515,-122.3223967,9.61
258,37.5655545,-122.3204184,7.84
259,37.5658794,-122.32187,8.93
260,37.5659898,-122.3217092,8.7
261,37.566123,-122.3288228,9.61
262,37.5661286,-122.3215143,8.39
263,37.566207,-122.3214007,8
264,37.5662311,-122.3268664,8.37
265,37.5662874,-122.3624549,47.94
266,37.5663164,-122.3267397,8.34
267,37.5663214,-122.3260692,8.64
268,37.566414,-122.3265946,8.21
269,37.5664492,-122.3265423,8.18
270,37.5665775,-122.3263322,8.26
271,37.5666159,-122.3208089,7.54
272,37.5666808,-122.3903985,182.8
273,37.5668791,-122.3266504,8.16
274,37.5668936,-122.3223493,8.43
275,37.5669011,-122.3548708,38.02
276,37.566914,-122.3203789,6.96
277,37.5669684,-122.3222407,8.09
278,37.5670006,-122.320254,6.73
279,37.5670062,-122.3300158,9.58
280,37.5670342,-122.326814,8.24
281,37.5670541,-122.3221165,7.73
282,37.567088,-122.3371691,16.43
283,37.567136,-122.3200588,6.48
284,37.5671578,-122.3269444,8.2
285,37.5672524,-122.3270442,8.39
286,37.5673046,-122.3270993,8.39
287,37.5673801,-122.3216437,7.09
288,37.5674196,-122.330702,9.37
289,37.5674472,-122.3272521,8.35
290,37.5674868,-122.3253013,8.18
291,37.56752,-122.3363429,15.6
292,37.567537,-122.3253561,8.29
293,37.5675437,-122.3205136,6.46
294,37.5675785,-122.3213559,6.71
295,37.5676322,-122.3310548,9.5
296,37.5676636,-122.3247243,8.75
297,37.5676753,-122.5138928,54.55
298,37.5676772,-122.3212127,6.66
299,37.5677764,-122.3312941,9.43
